date,observed,trend,seasonal,resid
2021-01-01,0.5315423956726273,,0.001977381125423956,
2021-01-02,0.5379440299024137,,0.0022520660564250236,
2021-01-03,0.5443456641322001,,0.0025253144309656888,
2021-01-04,0.5507472983619865,,0.0022427833860008675,
2021-01-05,0.5571489325917729,,0.0019588157845756467,
2021-01-06,0.5635505668215594,,0.001582535550850893,
2021-01-07,0.5699522010513457,,0.0012048187606658292,
2021-01-08,0.5763538352811322,,0.0009010166223757746,
2021-01-09,0.5827554695109185,,0.001042245518860572,
2021-01-10,0.589157103740705,,0.0006871261118034946,
2021-01-11,0.5955587379704914,,0.0003312446342404277,
2021-01-12,0.6019603722002778,,1.2689953574643401e-05,
2021-01-13,0.6083620064300642,,-0.00030769837229965716,
2021-01-14,0.6147636406598506,,-0.0005905568550709969,
2021-01-15,0.621165274889637,,-0.0008752489830508647,
2021-01-16,0.6275669091194234,,-0.00097921191467102,
2021-01-17,0.6339685433492098,,-0.0010850084914996794,
2021-01-18,0.6377689317200084,,-0.001325726679799326,
2021-01-19,0.6415693200908068,,-0.0015682785133074968,
2021-01-20,0.6453697084616054,,-0.001452612209149054,
2021-01-21,0.6491700968324039,,-0.0013387795501990877,
2021-01-22,0.6529704852032023,,-0.0013465411563680033,
2021-01-23,0.6567708735740009,,-0.0013550876823151684,
2021-01-24,0.6605712619447993,0.6503926116143766,-0.0008588650522543809,0.011037515382677138
2021-01-25,0.6643716503155979,0.6546344474127909,-0.0011505387989656144,0.01088774170177261
2021-01-26,0.6681720386863964,0.6587897302965134,-0.0013772833511390779,0.010759591741022043
2021-01-27,0.6719724270571948,0.6628298566884232,-0.0015980114903915315,0.010740581859163172
2021-01-28,0.6757728154279934,0.6667262230113981,-0.0015712861703004134,0.010617878586895748
2021-01-29,0.6795732037987918,0.6704788292654384,-0.0015385444372882262,0.010632918970641603
2021-01-30,0.6833735921695904,0.674087675450544,-0.0012529182142518832,0.01053883493329821
2021-01-31,0.6871739805403889,0.6775527615667152,-0.000961275578294471,0.01058249455196821
2021-02-01,0.6909743689111874,0.6808740876139515,-0.00069621803741394,0.010796499334649776
2021-02-02,0.6947747572819859,0.6840516535922533,-0.0004251440836123177,0.011148247773344933
2021-02-03,0.6971949574359579,0.6870854595016204,-5.487647696104582e-05,0.01016437441129862
2021-02-04,0.6996151575899299,0.689975505342053,0.00032140754261125433,0.00931824470526563
2021-02-05,0.7020353577439019,0.6927217911135508,0.0004141657921284947,0.008899400838222606
2021-02-06,0.704455557897874,0.6953243168161141,0.0005129404545667338,0.008618300627193156
2021-02-07,0.7068757580518459,0.6977830824497425,0.00029021865661899644,0.008802456945484365
2021-02-08,0.7092959582058179,0.7000980880144364,7.167174766898397e-05,0.009126198443712534
2021-02-09,0.7117161583597899,0.7022693335101957,0.00013209633186978987,0.009314728517724347
2021-02-10,0.7141363585137619,0.7043250933485311,0.00019296932037764022,0.009618295844853146
2021-02-11,0.7165565586677339,0.7062936419409532,0.00038931645988332176,0.00987360026689738
2021-02-12,0.7189767588217059,0.7082245433313232,0.0005842270429285968,0.010167988447454037
2021-02-13,0.7213969589756779,0.7101673615635018,0.0009929368430819732,0.010236660569094133
2021-02-14,0.72381715912965,0.7121220966374889,0.00140021008677501,0.010294852405386003
2021-02-15,0.7262373592836219,0.7140887485532847,0.0016895138843296435,0.010459096846007484
2021-02-16,0.7286575594375939,0.7160673173108891,0.001977381125423956,0.01061286100128083
2021-02-17,0.7310777595915658,0.7180578029103022,0.0022520660564250236,0.010767890624838633
2021-02-18,0.7334979597455379,0.7200602053515237,0.0025253144309656888,0.01091243996304849
2021-02-19,0.7332866308043309,0.7220745246345537,0.0022427833860008675,0.008969322783776323
2021-02-20,0.7330753018631238,0.7241007607593926,0.0019588157845756467,0.007015725319155546
2021-02-21,0.7328639729219167,0.7261389137260399,0.001582535550850893,0.005142523645025955
2021-02-22,0.7326526439807097,0.7281889835344959,0.0012048187606658292,0.003258841685547995
2021-02-23,0.7324413150395026,0.7302509701847604,0.0009010166223757746,0.0012893282323664574
2021-02-24,0.7322299860982956,0.7323248736768337,0.001042245518860572,-0.0011371330973987217
2021-02-25,0.7320186571570885,0.7344106940107156,0.0006871261118034946,-0.0030791629654305943
2021-02-26,0.7318073282158815,0.736523433232241,0.0003312446342404277,-0.005047349650599979
2021-02-27,0.7315959992746744,0.7386780933872452,1.2689953574643401e-05,-0.007094784066145413
2021-02-28,0.7313846703334673,0.7408203094404318,-0.00030769837229965716,-0.009127940734664776
2021-03-01,0.7311733413922603,0.7428957163565044,-0.0005905568550709969,-0.011131818109173111
2021-03-02,0.7309620124510532,0.7449043141354632,-0.0008752489830508647,-0.013067052701359154
2021-03-03,0.7307506835098462,0.7468461027773077,-0.00097921191467102,-0.015116207352790477
2021-03-04,0.7305393545686392,0.7487210822820383,-0.0010850084914996794,-0.01709671922189942
2021-03-05,0.730328025627432,0.7505292526496549,-0.001325726679799326,-0.018875500342423496
2021-03-06,0.730116696686225,0.7522706138801573,-0.0015682785133074968,-0.02058563868062473
2021-03-07,0.7344652597802198,0.7539451659735458,-0.001452612209149054,-0.018027293984176903
2021-03-08,0.7388138228742145,0.7555529089298201,-0.0013387795501990877,-0.015400306505406502
2021-03-09,0.7431623859682093,0.7570938427489806,-0.0013465411563680033,-0.012584915624403342
2021-03-10,0.7475109490622039,0.7585679674310268,-0.0013550876823151684,-0.009701930686507723
2021-03-11,0.7518595121561987,0.759975282975959,-0.0008588650522543809,-0.0072569057675058455
